,movieId,title,cls
134,2700,"South Park: Bigger, Longer & Uncut",4
135,2706,American Pie,4
136,2762,The Sixth Sense,2
137,2791,Airplane!,4
138,2797,Big,4
139,2858,American Beauty,1
140,2859,Stop Making Sense,5
141,2918,Ferris Bueller's Day Off,4
142,2959,Fight Club,2
143,3007,American Movie,5
144,3147,The Green Mile,2
145,3408,Erin Brockovich,1
146,3481,High Fidelity,4
147,3578,Gladiator,4
148,3753,The Patriot,6
149,3897,Almost Famous,1
150,3948,Meet the Parents,4
151,3949,Requiem for a Dream,1
152,3977,Charlie's Angels,4
153,3996,"Crouching Tiger, Hidden Dragon",1
154,4022,Cast Away,1
155,4226,Memento,2
156,4246,Bridget Jones's Diary,4
157,4306,Shrek,4
158,4963,Ocean's Eleven,2
159,4973,Amélie,4
160,4979,The Royal Tenenbaums,4
161,4993,The Lord of the Rings: The Fellowship of the Ring,4
162,4995,A Beautiful Mind,1
163,5418,The Bourne Identity,2
164,5445,Minority Report,2
165,5669,Bowling for Columbine,5
166,5952,The Lord of the Rings: The Two Towers,4
167,5989,Catch Me If You Can,2
168,5995,The Pianist,6
169,6331,Spellbound,5
170,6539,Pirates of the Caribbean: The Curse of the Black Pearl,4
171,6711,Lost in Translation,4
172,6874,Kill Bill: Vol. 1,2
173,7153,The Lord of the Rings: The Return of the King,4
174,7156,The Fog of War: Eleven Lessons from the Life of Robert S. McNamara,6
175,7361,Eternal Sunshine of the Spotless Mind,4
176,7438,Kill Bill: Vol. 2,2
177,8622,Fahrenheit 9/11,5
178,8874,Shaun of the Dead,0
179,33794,Batman Begins,2
180,34072,March of the Penguins,5
181,45950,An Inconvenient Truth,5
182,56367,Juno,4
183,58559,The Dark Knight,2
184,68157,Inglourious Basterds,6
185,79132,Inception,2
186,80906,Inside Job,5
187,99114,Django Unchained,4
188,122888,Ben-Hur,3
189,122896,Pirates of the Caribbean: Dead Men Tell No Tales,3
190,138212,Spectral,3
191,141866,Green Room,3
192,142456,The Brand New Testament,3
193,143387,Pitch Perfect 3,3
194,156605,Paterson,3
195,166024,Whiplash,3
196,167570,The OA,3
197,170745,13 Reasons Why,3
198,171495,Cosmos,3
199,172591,The Godfather Trilogy: 1901-1980,3
200,176601,Black Mirror,3
201,183869,Hereditary,3
